106 VERMILYEA AVENUE	10034	34219	23953	3592.9688	5132.81
1061 ST NICHOLAS' AVENUE	10032	24090	16863	2436	3480
1063 WARD AVENUE	10472	24822	17375	2515.576	3593.68
1064 MANOR AVENUE	10472	36135	25295	3667.7	5239.58
1065 LEXINGTON AVENUE	10021	44713	31299	4694.81	6706.88
1066 ZEREGA AVENUE	10462	153300	107310	15559.95	22228.5
107 VERMILYEA AVENUE	10034	21900	15330	2233	3190
107 WEST 38 STREET	10018	19845	13892	2014.2675	2877.53
1070 ELDER AVENUE	10472	45442	31810	4771.515	6816.45
1071 6 AVENUE	10018	68200	47740	7161	10230
1072 WOODYCREST AVENUE	10452	26828	18779	2722.9913	3889.99
1075 GRAND CONCOURSE	10452	99912	69938	10490.76	14986.8
108 EAST 38 STREET	10016	82125	57488	8623.125	12318.75
108 EAST 91 STREET	10128	32850	22995	3334.275	4763.25
108 EAST CLARKE PLACE	10452	48728	34109	4945.892	7065.56
108 FIELD PLACE	10468	44712	31299	4538.37	6483.39
108 WEST 15 STREET	10011	37778	26444	2625	3750
108 WEST 15 STREET	10011	49275	34493	5173.875	7391.25
108 WEST 25 STREET	10001	24820	17374	2519.23	3598.9
108-05 ASTORIA BOULEVARD	11369	25039	17527	2537.5	3625
1080 LEGGETT AVENUE	10474	38400	26880	6520.36	9314.8
1082 GERARD AVENUE	10452	37577	26304	3814.04	5448.63
1083 WALTON AVENUE	10452	44968	31478	4567.5	6525
1085 COLGATE AVENUE	10472	18104	12673	1827	2610
1085 PARK AVENUE	10128	45443	31810	4771.515	6816.45
109 EAST 153 STREET	10451	38325	26828	3889.9875	5557.13
109 ST MARK'S PLACE	10009	21900	15330	2222.85	3175.5
109 WEST 112 STREET	10026	80300	56210	8150.45	11643.5
109 WEST 82 STREET	10024	56700	39690	5755.05	8221.5
1090 DR M L KING JR BOULEVARD	10452	44006	30804	4433.44	6333.48
1095 PARK AVENUE	10128	131400	91980	13797	19710
1095 PARK AVENUE	10128	49249	34474	4819.5	6885
1095 PROSPECT AVENUE	10459	16425	11498	1667.1375	2381.63
1097 WALTON AVENUE	10452	44968	31478	4721.64	6745.2
11 EAST 26 STREET	10010	68040	47628	5103	7290
11 EAST 32 STREET	10016	17812	12468	1807.918	2582.74
11 EAST 68 STREET	10021	64800	45360	6804	9720
11 EAST 68 STREET	10021	7920	5544	831.6	1188
11 EAST 75 STREET	10021	29638	20747	5365.5	7665
11 EAST 86 STREET	10028	82125	57488	5173.88	7391.25
11 EAST 87 STREET	10128	49275	34493	5173.875	7391.25
11 HILLSIDE AVENUE	10040	5352	3746	630	900
11 SEAMAN AVENUE	10034	41062	28744	4311.615	6159.45
11 WAVERLY PLACE	10003	121423	84996	16240	23200
11 WEST 172 STREET	10452	46136	32295	4830	6900
11 WEST 30 STREET	10001	41063	28744	4167.9	5954.14
11 WEST 69 STREET	10023	65408	45786	6638.912	9484.16
11 WEST 81 STREET	10024	35770	25039	3755.85	5365.5
11-14 46 AVENUE	11101	24820	17374	2537.5	3625
11-15 46 ROAD	11101	26864	18805	2741.515	3916.45
11-24 46 AVENUE	11101	27010	18907	2741.515	3916.45
11-55 45 AVENUE	11101	19710	13797	2000.565	2857.95
11-55 45 AVENUE	11101	19710	13797	2000.565	2857.95
110 BANK STREET	10014	0	0	0	0
110 BANK STREET	10014	22995	16097	2333.9925	3334.28
110 CHRISTOPHER STREET	10014	18907	13235	1919.0605	2741.52
110 EAST 177 STREET	10453	43901	30731	4603.76	6576.8
110 MT HOPE PLACE	10453	68340	47838	3885	5550
110 RIVERSIDE DRIVE	10024	278524	194967	28059.7765	40085.4
110 WEST 40 STREET	10018	57720	40404	6060.6	8658
110 WEST 94 STREET	10025	32850	22995	3449.25	4927.5
110 WEST 96 STREET	10025	87600	61320	9198	13140
110-56 71 AVENUE	11375	44713	31299	4694.865	6706.95
1100 GRAND CONCOURSE	10456	111508	78055	0	0
1100 MADISON AVENUE	10028	76504	53553	7779.98	11114.25
1101 MANOR AVENUE	10472	49275	34493	5001.4125	7144.88
1104 CARROLL PLACE	10456	54268	37988	5698.14	8140.2
1105 MORRISON AVENUE	10472	2555	1789	3906	5580
1107 5 AVENUE	10128	179580	125706	18396	26280
111 E. 7th STREET	10009	19835	13885	2030	2900
111 EAST 56 STREET	10022	148190	103733	14490	20700
111 EAST 80 STREET	10021	57999	40599	5886.8985	8409.86
111 EAST 88 STREET	10128	63619	44534	6680.1	9543
111 EAST MOSHOLU PARKWAY N.	10467	49056	34339	4978.98	7112.83
111 WEST 141 STREET	10030	30405	21283	3086.0568	4408.65
111 WEST 19 STREET	10011	238798	167159	22688.4	32412
111-17 NORTHERN BOULEVARD	11368	24638	17246	2500.76	3572.51
111-20 73 AVENUE	11375	202027	141419	20695.5	29565
111-35 75 AVENUE	11375	25112	17578	2548.868	3641.24
111-50 75 ROAD	11375	40004	28003	4200.42	6000.6
1110 WYATT STREET	10460	28086	19661	5250	7500
1111 PARK AVENUE	10128	131400	91980	13797	19710
1111 PARK AVENUE	10128	82125	57488	8623.125	12318.75
1113 GRANT AVENUE	10456	57488	40241	5834.9813	8335.69
1114 WARD AVENUE	10472	49932	34952	5250	7500
1115 COLLEGE AVENUE	10456	21900	15330	2222.85	3175.5
112 EAST 17 STREET	10003	49056	34339	5075	7250
112 EAST 19 STREET	10003	97856	68500	3937.5	5625
112 EAST 19 STREET	10003	31755	22229	3223.1325	4604.48
112 HAVEN AVENUE	10032	23068	16148	2334.5	3335
112 MADISON AVENUE	10016	49275	34493	5173.88	7391.25
112 WEST 138 STREET	10030	37559	26291	3812.2385	5446.06
1120 PARK AVENUE	10128	71792	50255	8400	12000
1120 PARK AVENUE	10128	106762	74734	11210.12	16014.45
1120 WYATT STREET	10460	70080	49056	7350	10500
1121 ELDER AVENUE	10472	30405	21283	3086.06	4408.65
1121 MORRISON AVENUE	10472	27923	19546	2931.915	4188.45
1123 BROADWAY	10010	77562	54294	8623.125	12318.75
1124 CARROLL PLACE	10456	27010	18907	2741.515	3916.45
1125 GRAND CONCOURSE	10452	50687	35481	5075	7250
1126 EVERGREEN AVENUE	10472	45260	31682	4725	6750
113-14 72 ROAD	11375	91645	64152	14513.73	20733.9
113-15 34 AVENUE	11368	81180	56826	7791	11130
113-15 34 AVENUE	11368	81180	56826	8316	11880
1130 ANDERSON AVENUE	10452	37559	26291	3812.24	5446.06
1130 PELHAM PARKWAY	10461	41062	28744	4311.5625	6159.38
1131-33 OGDEN AVENUE	10452	182318	127622	19143.34	27347.63
1131-33 OGDEN AVENUE	10452	0	0	0	0
1133 5 AVENUE	10128	40229	28160	4060	5800
1133 BOSTON ROAD	10456	18980	13286	3990	5700
1133 MORRISON AVENUE	10472	29675	20772	3115.875	4451.25
1135 PELHAM PARKWAY NORTH	10469	31864	22305	3345.825	4779.75
114 EAST 16 STREET	10003	5913	4139	2625	3750
114 EAST 25 STREET	10010	32996	23097	3479.91	4971.3
114 ELLIOT PLACE	10452	40004	28003	4200	6000
114 MORNINGSIDE DRIVE	10027	28360	19852	2878.6415	4112.35
114 WEST 16 STREET	10011	30076	21053	3052.714	4361.02
114 WEST 183 STREET	10453	59987	41991	6298.635	8998.05
114 WEST 238 STREET	10463	80483	56338	8450.72	12072.45
114 WEST 27 STREET	10001	20000	14000	2030	2900
114 WEST 70 STREET	10023	25112	17578	2625	3750
114 WEST 86 STREET	10024	49275	34493	5173.88	7391.25
1140 5 AVENUE	10128	153300	107310	7760.55	11086.5
1140 5 AVENUE	10128	151520	106064	15521.625	22173.75
1140 PARK AVENUE	10128	16657	11660	1690.5309	2415.04
1141 BROADWAY	10001	19656	13759	2063.88	2948.4
1144 LYDIG AVENUE	10461	29127	20389	2956.3905	4223.42
1144 PELHAM PARKWAY	10461	44968	31478	4725	6750
1145 MORRISON AVENUE	10472	27923	19546	2931.92	4188.45
115 CABRINI BOULEVARD	10033	32850	22995	3334.275	4763.25
115 EAST 34 STREET	10016	150847	105593	15452.64	22075.2
115 EAST 82 STREET	10028	32850	22995	3449.25	4927.5
115 EAST 86 STREET	10028	89681	62776	9416.505	13452.15
115 EAST 9 STREET	10003	238921	167245	24474.87	34964.1
115 EAST 92 STREET	10128	68730	48111	7216.65	10309.5
115 HENRY STREET	11201	25112	17578	2537.5	3625
115 ST MARK'S PLACE	10009	47450	33215	4816.175	6880.25
115 VERMILYEA AVENUE	10034	15877	11114	1624	2320
115 WEST 104 STREET	10025	37800	26460	3836.7	5481
115 WEST 16 STREET	10011	26827	18779	2722.9913	3889.99
115 WEST 18 STREET	10011	232556	162789	23822.82	34032.6
115 WEST 197 STREET	10468	49275	34493	5173.875	7391.25
115 WEST 27 STREET	10001	29930	20951	3045	4350
115 WEST 29 STREET	10001	21750	15225	2207.625	3153.75
115 WEST 30 STREET	10001	50000	35000	5075	7250
115 WEST 73 STREET	10023	40004	28003	4200	6000
1150 GRAND CONCOURSE	10456	64058	44840	6720	9600
1150 PELHAM PARKWAY	10461	31865	22305	3234.2975	4620.43
1150 ST LAWRENCE AVENUE	10472	21900	15330	2233	3190
1154 STRATFORD AVENUE	10472	40004	28003	4060	5800
1155 GERARD AVENUE	10452	29674	20772	3115.88	4451.25
1155 MORRISON AVENUE	10472	29675	20772	3115.875	4451.25
1156 COLGATE AVENUE	10472	24637	17246	2500.7063	3572.44
1158 WASHINGTON AVENUE	10456	19995	13996	2030	2900
116 EAST 24 STREET	10010	41646	29153	4372.935	6247.05
116 EAST 27 STREET	10016	49275	34493	5173.88	7391.25
116 WEST 23 STREET	10011	213525	149468	22420.125	32028.75
1160 EVERGREEN AVENUE	10472	57488	40241	6036.24	8623.2
1161 STRATFORD AVENUE	10472	66576	46603	5250	7500
1164 CROMWELL AVENUE	10452	54896	38427	5775	8250
1165 BROADWAY	10001	26828	18779	2723.042	3890.06
1166 GRAND CONCOURSE	10456	45786	32050	4725	6750
1167 STRATFORD AVENUE	10472	37668	26368	3955.14	5650.2
117 SHERMAN AVENUE	10034	41062	28744	4311.5625	6159.38
117 WEST 13 STREET	10011	30377	21264	3045	4350
117 WEST 141 STREET	10030	29127	20389	2956.3905	4223.42
117 WEST 70 STREET	10023	54422	38095	5714.31	8163.3
117 WEST 79 STREET	10024	27185	19030	2740.5	3915
117-14 UNION TURNPIKE	11415	64058	44840	6825	9750
1170 GERARD AVENUE	10452	27922	19546	2931.92	4188.45
1171 ELDER AVENUE	10472	37559	26291	3812.1878	5445.98
1171 MORRISON AVENUE	10472	29675	20772	3115.8225	4451.18
1171 SHERMAN AVENUE	10456	24528	17170	2489.592	3556.56
1173 GRAND CONCOURSE	10452	73000	51100	7665	10950
1174 SHERIDAN AVENUE	10456	35040	24528	3675	5250
1175 ANDERSON AVENUE	10452	86140	60298	9044.7	12921
1175 FULTON AVENUE	10456	30076	21053	3045	4350
1176 FRANKLIN AVENUE	10456	31755	22229	3223.1325	4604.48
118 EAST 93 STREET	10128	57232	40062	5809.048	8298.64
118 VERMILYEA AVENUE	10034	34219	23953	3592.9688	5132.81
118 WEST 22 STREET	10011	28125	19688	2854.6875	4078.13
118 WEST 57 STREET	10019	262800	183960	55188	78840
118 WEST 95 STREET	10025	11025	7718	1522.5	2175
118-09 83 AVENUE	11415	35858	25100	3643.85	5205.5
1181 EAST TREMONT AVENUE	10460	37960	26572	3990	5700
1184 CROMWELL AVENUE	10452	49932	34952	5250	7500
1184 EVERGREEN AVENUE	10472	24090	16863	2445.14	3493.05
1185 LEBANON STREET	10460	48034	33624	5043.57	7205.1
119 5 AVENUE	10003	29740	20818	3150	4500
119 EAST 84 STREET	10028	24637	17246	2586.94	3695.63
119 PAYSON AVENUE	10034	37960	26572	3990	5700
119 POST AVENUE	10034	0	0	0	0
119 POST AVENUE	10034	29000	20300	2943.5	4205
119 WEST 23 STREET	10011	20250	14175	2055.375	2936.25
119 WEST 25 STREET	10001	132018	92412	13300.308	19000.44
119 WEST 40 STREET	10018	115304	80712	11703.3053	16719.01
119 WEST 71 STREET	10023	28156	19709	2842	4060
119-14 UNION TURNPIKE	11415	39566	27696	4154.43	5934.9
1192 NELSON AVENUE	10452	59860	41902	6300	9000
1194 YORK AVENUE	10021	185400	129780	0	0
1195 SHERMAN AVENUE	10456	25112	17578	2537.5	3625
12 CLIFFORD PLACE	10453	13140	9198	1333.71	1905.3
12 DONGAN PLACE	10040	45443	31810	4771.46	6816.38
12 EAST 12 STREET	10003	38115	26681	3868.6725	5526.68
12 EAST 213 STREET	10467	8176	5723	1659.728	2371.04
12 EAST 33 STREET	10016	13875	9713	1408.3125	2011.88
12 EAST 86 STREET	10028	424703	297292	34925.52	49893.6
12 WEST 21 STREET	10010	39960	27972	4055.94	5794.2
12 WEST 27 STREET	10001	65408	45786	6638.912	9484.16
12 WEST 44 STREET	10036	17958	12571	3630.66	5186.65
12 WEST 96 STREET	10025	89060	62342	9351.3	13359
120 BENNETT AVENUE	10033	60225	42158	6300	9000
120 BRUCKNER BOULEVARD	10454	56700	39690	5755.05	8221.5
120 CHRISTOPHER STREET	10014	26280	18396	2741.515	3916.45
120 CLAREMONT AVENUE	10027	91645	64152	9301.97	13288.53
120 CLAREMONT AVENUE	10027	98550	68985	9997.75	14282.5
120 EAST 34 STREET	10016	105120	73584	11037.6	15768
120 EAST 79 STREET	10021	50808	35566	5334.84	7621.2
120 EAST 79 STREET	10021	49275	34493	5173.875	7391.25
120 LIBERTY STREET	10006	57487	40241	5834.9813	8335.69
120 MARCY PLACE	10452	34748	24324	3675	5250
120 MARCY PLACE	10452	34748	24324	3675	5250
120 RIVERSIDE BLVD.	10069	97734	68414	10263.75	14662.5
120 WALKER STREET	10013	6882	4817	1389.535	1985.05
120 WEST 105 STREET	10025	91250	63875	9261.875	13231.25
120 WEST 183 STREET	10453	41756	29229	4410	6300
120 WEST 57 STREET	10019	20300	14210	2030	2900
1201 DR M L KING JR BOULEVARD	10452	19856	13899	2030	2900
1201 OGDEN AVENUE	10452	49932	34952	5075	7250
1202 AVENUE P	11229	36500	25550	3704.75	5292.5
1202 SPOFFORD AVENUE	10474	44457	31120	4512.3855	6446.27
1203 FINDLAY AVENUE	10456	24090	16863	2445.14	3493.05
1205 COLLEGE AVENUE	10456	40880	28616	4292.4	6132
1209 1 AVENUE	10021	42048	29434	4263	6090
121 BENNETT AVENUE	10033	56064	39245	5880	8400
121 CLARKE PLACE	10452	26828	18779	2723.04	3890.06
121 EAST 24 STREET	10010	32850	22995	3449.25	4927.5
121 ST NICHOLAS' AVENUE	10026	48728	34109	4945.892	7065.56
121 WEST 17 STREET	10011	20257	14180	40600	58000
121 WEST 72 STREET	10023	41062	28744	4311.5625	6159.38
1210 ELDER AVENUE	10472	40624	28437	3012.0125	4302.88
1210 NELSON AVENUE	10452	28361	19852	2878.6415	4112.35
1220 BROADWAY	10001	47268	33087	2100	3000
1220 MORRIS AVENUE	10456	51100	35770	5365.5	7665
1221 COLLEGE AVENUE	10456	45825	32078	7243.425	10347.75
1221 SHERIDAN AVENUE	10456	37084	25959	3885	5550
1221 WHITE PLAINS ROAD	10472	54750	38325	5557.125	7938.75
1225 BROADWAY	10001	81304	56913	5186.65	7409.5
1225 SHERMAN AVENUE	10456	25112	17578	2625	3750
1225 WHITE PLAINS ROAD	10472	54750	38325	5557.125	7938.75
1227 WHEELER AVENUE	10472	19162	13414	1944.9938	2778.56
1228 GRAND CONCOURSE	10456	20258	14180	2056.187	2937.41
1229 FRANKLIN AVENUE	10456	37668	26368	3955.14	5650.2
123 EAST 37 STREET	10016	36956	25869	6898.5	9855
123 EAST 75 STREET	10021	123450	86415	9345	13350
123 EAST 75 STREET	10021	108588	76011	9240	13200
123 EAST 75 STREET	10021	49275	34493	5173.88	7391.25
123 WEST 183 STREET	10453	44713	31299	9076.74	12966.77
1230 MORRISON AVENUE	10472	65700	45990	6898.5	9855
1230 MORRISON AVENUE	10472	94024	65817	9872.52	14103.6
1231 FULTON AVENUE	10456	28032	19622	2845.25	4064.64
1231 SHERIDAN AVENUE	10456	34748	24324	3675	5250
1235 GRAND CONCOURSE	10452	70004	49003	7350	10500
1236 GRAND CONCOURSE	10456	28360	19852	2878.5908	4112.27
1236 VIRGINIA AVENUE	10472	57487	40241	6036.135	8623.05
1239 MADISON AVENUE	10128	566300	396410	31500	45000
1239 MADISON AVENUE	10128	350035	245025	22052.21	31503.15
124 AUDUBON AVENUE	10032	35040	24528	3552.5	5075
124 EAST 103 STREET	10029	41062	28744	4167.9	5954.14
124 EAST 84 STREET	10028	26827	18779	2723.042	3890.06
124 EAST 84 STREET	10028	58400	40880	3066	4380
124 ELLIOT PLACE	10452	17812	12468	3630.655	5186.65
124 FORT GEORGE AVENUE	10040	54896	38427	5775	8250
124 WEST 43 STREET	10036	25000	17500	2537.5	3625
124 WEST 60 STREET	10023	336713	235699	34492.5	49275
124 WEST 72 STREET	10023	41063	28744	4167.793	5953.99
124 WEST 93 STREET	10025	39694	27786	4200	6000
124-06 HILLSIDE AVENUE	11418	34493	24145	1827	2610
1240 LEXINGTON AVENUE	10028	13875	9713	1408.3125	2011.88
1240 WOODYCREST AVENUE	10452	112238	78566	11497.5	16425
1240 WOODYCREST AVENUE	10452	24528	17170	2575.44	3679.2
1245 GRANDVIEW PLACE	10452	29200	20440	2963.8	4234
125 ALLEN STREET	10002	24984	17489	2537.5	3625
125 CHAMBERS STREET	10007	26280	18396	2667.42	3810.6
125 EAST 72 STREET	10021	7140	4998	7687.61	10982.3
125 EAST 72 STREET	10021	62485	43740	6342.2783	9060.4
125 EAST 74 STREET	10021	34492	24145	3621.765	5173.95
125 EAST 84 STREET	10028	114464	80125	11618.1	16597.28
125 EAST 87 STREET	10128	63729	44610	6691.55	9559.35
125 EAST 93 STREET	10128	25112	17578	2537.5	3625
125 MARCY PLACE	10452	30076	21053	3150	4500
125 PROSPECT PARK WEST	11215	39420	27594	4139.1	5913
125 RIVERSIDE DRIVE	10024	74679	52275	7841.295	11201.85
125 SEAMAN AVENUE	10034	41063	28744	4167.8945	5954.14
125 SHERMAN AVENUE	10034	41063	28744	4311.62	6159.45
125 VERMILYEA AVENUE	10034	13468	9428	1367.1035	1953.01
125 WEST 111 STREET	10026	40004	28003	4060	5800
125 WEST 16 STREET	10011	29127	20389	2956.39	4223.42
125 WEST 195 STREET	10468	73000	51100	7409.5	10585
125 WEST 31 STREET	10001	25718280	18002796	0	0
125 WEST 96 STREET	10025	27923	19546	2931.915	4188.45
125 WEST TREMONT AVENUE	10453	29674	20772	3115.82	4451.18
1250 FRANKLIN AVENUE	10456	37668	26368	3955.14	5650.2
1250 LELAND AVENUE	10472	35770	25039	3755.85	5365.5
1251 WEBSTER AVENUE	10456	11992	8395	1218	1740
